"area_160616","area_160617","area_160618","area_160619","area_160620","area_160621","area_160622","area_160623","area_160624","area_160625","area_160626","area_160627","area_160628","area_160629","area_160630","area_160701","area_160702","area_160703","area_160704","area_160705","well_ID","factor"
5.346,4.555,3.824,4.55,6.713,8.545,12.87,19.443,30.121,43.412,57.538,74.117,77.933,76.381,75.601,73.784,73.027,72.828,73.341,74.464,106,"04"
3.217,3.231,3.016,4.207,6.949,11.154,17.725,27.254,43.837,62.285,82.076,81.489,82.481,82.264,81.348,79.314,79.779,78.318,78.902,80.484,107,"04"
3.28,3.32,3.108,3.756,5.747,8.123,12.784,19.837,31.372,46.148,61.739,75.077,80.316,78.759,79.63,75.276,77.962,77.273,77.515,78.473,108,"04"
2.836,2.966,2.827,3.177,4.201,5.41,7.483,10.936,17.18,25.823,35.377,53.816,72.007,77.583,76.819,76.794,73.157,74.667,72.34,74.455,109,"04"
3.128,3.215,2.977,3.541,4.69,6.083,8.676,13.337,21.562,30.292,39.79,60.906,72.891,71.476,75.382,72.575,70.254,63.787,65.449,62.513,110,"04"
3.762,3.456,3.374,3.951,5.011,6.198,8.386,12.182,18.728,28.051,38.037,56.389,73.631,75.744,76.035,74.699,72.806,69.445,71.222,68.359,111,"04"
3.307,3.047,2.913,3.085,4.098,5.363,7.534,11.325,18.037,27.258,37.492,55.772,73.88,72.986,74.921,70.644,69.204,64.669,65.983,63.703,112,"04"
3.595,3.449,3.344,4.047,6.034,8.94,14.36,22.834,38.087,55.133,65.473,70.232,68.214,63.151,69.67,71.356,67.493,61.974,64.423,61.722,113,"04"
3.864,3.466,3.245,3.864,5.39,7.796,11.284,17.704,28.675,43.72,58.927,69.274,73.362,68.308,75.137,75.242,70.612,63.895,68.23,63.081,114,"04"
3.298,3.248,2.877,3.061,3.867,4.294,5.107,6.568,8.975,12.793,16.913,24.355,33.684,45.803,60.67,68.004,69.559,65.185,65.216,62.543,115,"04"
3.636,3.624,3.606,4.091,5.764,8.2,12.225,19.472,34.697,56.395,75.104,81.583,81.898,78.317,80.7,77.8,76.598,73.219,76.526,73.271,116,"04"
3.47,3.443,3.372,3.926,5.658,7.813,11.022,16.69,28.015,43.764,58.416,79.288,79.863,78.634,77.878,76.155,73.975,74.094,74.894,73.079,117,"04"
4.404,4.215,3.693,4.052,5.431,6.226,8.258,11.49,17.163,26.232,36.559,58.576,75.893,75.738,72.449,72.618,70.438,72.427,72.654,70.181,118,"04"
3.968,3.863,3.657,4.154,5.886,7.9,11.122,16.67,27.13,39.437,52.344,66.325,71.787,69.21,71.975,71.097,66.27,66.58,68.619,65.893,119,"04"
4.571,4.513,4.387,4.954,6.437,8.725,11.961,20.052,36.047,55.899,72.072,80.48,78.617,77.038,77.508,75.565,73.811,75.651,75.091,75.458,120,"04"
3.545,3.363,3.211,3.731,5.302,7.129,10.397,16.216,27.578,43.102,57.877,71.522,73.066,69.603,67.511,68.355,67.734,73.172,72.2,73.943,121,"04"
3.304,3.114,2.946,3.236,4.409,5.902,8.595,12.461,20.167,31.025,43.451,65.648,77.828,76.857,73.1,74.484,71.682,74.733,74.364,73.723,122,"04"
3.108,3.079,2.734,2.78,3.202,3.356,3.492,3.83,3.96,4.435,4.845,5.403,6.433,8.481,12.39,17.884,25.463,34.334,44.378,56.036,123,"04"
3.081,3.014,2.832,3.078,4.047,5.42,7.536,11.135,18.013,28.29,39.669,63.849,82.944,85.03,80.344,78.674,77.149,80.366,78.699,77.147,124,"04"
4.037,3.833,3.2,3.297,3.99,4.299,4.495,4.556,5.126,5.712,6.315,7.375,9.759,14.436,23.838,35.935,50.681,68.648,77.581,76.043,125,"04"
3.643,3.503,3.212,3.937,6.083,8.657,12.796,19.524,32.595,49.29,64.732,79.049,79.636,78.679,77.624,75.555,74.361,76.392,74.307,74.233,126,"04"
2.978,3.011,2.946,3.44,4.889,7.247,10.843,16.812,30.099,46.945,62.462,78.258,74.593,74.586,72.959,69.617,69.328,71.708,70.23,69.921,127,"04"
2.906,3.01,2.917,3.332,4.71,6.583,9.456,13.957,21.424,31.515,43.404,64.759,76.459,79.491,76.878,76.648,73.041,74.937,76.414,74.138,128,"04"
